Local Authority,School Name,Measure Names,Measure Values
Aberdeen City,Aberdeen Grammar School,2020,2
Aberdeen City,Aberdeen Grammar School,2016,2
Aberdeen City,Bridge of Don Academy,2020,0.9
Aberdeen City,Bridge of Don Academy,2016,0.56
Aberdeen City,Bucksburn Academy,2020,1
Aberdeen City,Bucksburn Academy,2016,1
Aberdeen City,Cults Academy,2020,2
Aberdeen City,Cults Academy,2016,2
Aberdeen City,Dyce Academy,2020,0.8
Aberdeen City,Dyce Academy,2016,2
Aberdeen City,Harlaw Academy,2020,1
Aberdeen City,Harlaw Academy,2016,1
Aberdeen City,Hazlehead Academy,2020,
Aberdeen City,Hazlehead Academy,2016,
Aberdeen City,Lochside Academy,2020,1
Aberdeen City,Lochside Academy,2016,2
Aberdeen City,Northfield Academy,2020,0
Aberdeen City,Northfield Academy,2016,1
Aberdeen City,Oldmachar Academy,2020,1.6
Aberdeen City,Oldmachar Academy,2016,1.6
Aberdeen City,St Machar Academy,2020,1
Aberdeen City,St Machar Academy,2016,1
Aberdeenshire,Aboyne Academy,2020,1
Aberdeenshire,Aboyne Academy,2016,
Aberdeenshire,Alford Academy,2020,1.8
Aberdeenshire,Alford Academy,2016,3
Aberdeenshire,Banchory Academy,2020,1
Aberdeenshire,Banchory Academy,2016,1
Aberdeenshire,Banff Academy,2020,1
Aberdeenshire,Banff Academy,2016,2
Aberdeenshire,Ellon Academy,2020,0
Aberdeenshire,Ellon Academy,2016,1
Aberdeenshire,Fraserburgh Academy,2020,2.8
Aberdeenshire,Fraserburgh Academy,2016,2.8
Aberdeenshire,Inverurie Academy,2020,2
Aberdeenshire,Inverurie Academy,2016,2
Aberdeenshire,Kemnay Academy,2020,2
Aberdeenshire,Kemnay Academy,2016,1.4
Aberdeenshire,Mackie Academy,2020,1
Aberdeenshire,Mackie Academy,2016,1.4
Aberdeenshire,Mearns Academy,2020,2
Aberdeenshire,Mearns Academy,2016,1
Aberdeenshire,Meldrum Academy,2020,2
Aberdeenshire,Meldrum Academy,2016,1.9
Aberdeenshire,Mintlaw Academy,2020,1
Aberdeenshire,Mintlaw Academy,2016,1
Aberdeenshire,Peterhead Academy,2020,1
Aberdeenshire,Peterhead Academy,2016,1
Aberdeenshire,Portlethen Academy,2020,2
Aberdeenshire,Portlethen Academy,2016,3
Aberdeenshire,The Gordon Schools,2020,0.4
Aberdeenshire,The Gordon Schools,2016,1
Aberdeenshire,Turriff Academy,2020,1
Aberdeenshire,Turriff Academy,2016,0
Aberdeenshire,Westhill Academy,2020,2.4
Aberdeenshire,Westhill Academy,2016,1.4
Angus,Arbroath Academy,2020,1
Angus,Arbroath Academy,2016,2
Angus,Arbroath High School,2020,1
Angus,Arbroath High School,2016,2.8
Angus,Brechin High School,2020,1
Angus,Brechin High School,2016,1
Angus,Carnoustie High School,2020,2
Angus,Carnoustie High School,2016,2
Angus,Forfar Academy,2020,3
Angus,Forfar Academy,2016,2
Angus,Monifieth High School,2020,0.6
Angus,Monifieth High School,2016,2
Angus,Montrose Academy,2020,1.6
Angus,Montrose Academy,2016,1.46
Angus,Webster's High School,2020,2
Angus,Webster's High School,2016,2
Argyll & Bute,Campbeltown Grammar School,2020,1
Argyll & Bute,Campbeltown Grammar School,2016,1
Argyll & Bute,Dunoon Grammar School,2020,4
Argyll & Bute,Dunoon Grammar School,2016,2
Argyll & Bute,Hermitage Academy,2020,2
Argyll & Bute,Hermitage Academy,2016,2
Argyll & Bute,Islay High School,2020,0
Argyll & Bute,Islay High School,2016,0
Argyll & Bute,Lochgilphead High School,2020,0
Argyll & Bute,Lochgilphead High School,2016,0
Argyll & Bute,Oban High School,2020,2
Argyll & Bute,Oban High School,2016,3
Argyll & Bute,Rothesay Academy,2020,1
Argyll & Bute,Rothesay Academy,2016,1
Argyll & Bute,Tarbert Academy,2020,1
Argyll & Bute,Tarbert Academy,2016,0
Argyll & Bute,Tiree High School,2020,1
Argyll & Bute,Tiree High School,2016,0.8
Argyll & Bute,Tobermory High School,2020,0
Argyll & Bute,Tobermory High School,2016,0
City of Edinburgh,Balerno Community High School,2020,2
City of Edinburgh,Balerno Community High School,2016,1.12
City of Edinburgh,Boroughmuir High School,2020,3
City of Edinburgh,Boroughmuir High School,2016,2.79
City of Edinburgh,Broughton High School,2020,2
City of Edinburgh,Broughton High School,2016,3
City of Edinburgh,Castlebrae Community High School,2020,0
City of Edinburgh,Castlebrae Community High School,2016,0
City of Edinburgh,Craigmount High School,2020,5
City of Edinburgh,Craigmount High School,2016,3.64
City of Edinburgh,Craigroyston Community High School,2020,3
City of Edinburgh,Craigroyston Community High School,2016,1
City of Edinburgh,Currie Community High School,2020,3
City of Edinburgh,Currie Community High School,2016,3
City of Edinburgh,Drummond Community High School,2020,0
City of Edinburgh,Drummond Community High School,2016,2
City of Edinburgh,Firrhill High School,2020,1
City of Edinburgh,Firrhill High School,2016,2
City of Edinburgh,Forrester High School,2020,2
City of Edinburgh,Forrester High School,2016,2
City of Edinburgh,Gracemount High School,2020,2
City of Edinburgh,Gracemount High School,2016,2
City of Edinburgh,Holy Rood RC High School,2020,1
City of Edinburgh,Holy Rood RC High School,2016,1
City of Edinburgh,James Gillespie's High School,2020,1
City of Edinburgh,James Gillespie's High School,2016,2
City of Edinburgh,Leith Academy,2020,2
City of Edinburgh,Leith Academy,2016,1
City of Edinburgh,Liberton High School,2020,2
City of Edinburgh,Liberton High School,2016,1.67
City of Edinburgh,Portobello High School,2020,2
City of Edinburgh,Portobello High School,2016,2.58
City of Edinburgh,Queensferry Community High School,2020,3
City of Edinburgh,Queensferry Community High School,2016,2
City of Edinburgh,St Augustine's High School,2020,1
City of Edinburgh,St Augustine's High School,2016,1.65
City of Edinburgh,St Thomas of Aquin's High School,2020,2
City of Edinburgh,St Thomas of Aquin's High School,2016,3
City of Edinburgh,The Royal High School,2020,3
City of Edinburgh,The Royal High School,2016,3
City of Edinburgh,Trinity Academy,2020,3
City of Edinburgh,Trinity Academy,2016,4
City of Edinburgh,Tynecastle High School,2020,1
City of Edinburgh,Tynecastle High School,2016,1
City of Edinburgh,Wester Hailes High School,2020,2
City of Edinburgh,Wester Hailes High School,2016,1
Clackmannanshire,Alloa Academy,2020,1
Clackmannanshire,Alloa Academy,2016,1
Clackmannanshire,Alva Academy,2020,1
Clackmannanshire,Alva Academy,2016,1
Clackmannanshire,Lornshill Academy,2020,2
Clackmannanshire,Lornshill Academy,2016,2.6
Dumfries & Galloway,Annan Academy,2020,
Dumfries & Galloway,Annan Academy,2016,2.2
Dumfries & Galloway,Castle Douglas High School,2020,
Dumfries & Galloway,Castle Douglas High School,2016,0
Dumfries & Galloway,Dalbeattie High School,2020,
Dumfries & Galloway,Dalbeattie High School,2016,0
Dumfries & Galloway,Dalry Secondary School,2020,
Dumfries & Galloway,Dalry Secondary School,2016,0
Dumfries & Galloway,Douglas Ewart High School,2020,
Dumfries & Galloway,Douglas Ewart High School,2016,2
Dumfries & Galloway,Dumfries Academy,2020,
Dumfries & Galloway,Dumfries Academy,2016,0
Dumfries & Galloway,Dumfries High School,2020,
Dumfries & Galloway,Dumfries High School,2016,1
Dumfries & Galloway,Kirkcudbright Academy,2020,
Dumfries & Galloway,Kirkcudbright Academy,2016,1
Dumfries & Galloway,Langholm Academy,2020,
Dumfries & Galloway,Langholm Academy,2016,1
Dumfries & Galloway,Lockerbie Academy,2020,
Dumfries & Galloway,Lockerbie Academy,2016,0
Dumfries & Galloway,Moffat Academy,2020,
Dumfries & Galloway,Moffat Academy,2016,0
Dumfries & Galloway,North West Community Campus,2020,
Dumfries & Galloway,North West Community Campus,2016,2
Dumfries & Galloway,Sanquhar Academy,2020,
Dumfries & Galloway,Sanquhar Academy,2016,1
Dumfries & Galloway,St Joseph's College,2020,
Dumfries & Galloway,St Joseph's College,2016,2.4
Dumfries & Galloway,Stranraer Academy,2020,
Dumfries & Galloway,Stranraer Academy,2016,1
Dumfries & Galloway,Wallace Hall Academy,2020,
Dumfries & Galloway,Wallace Hall Academy,2016,0
Dundee City,Baldragon Academy,2020,1
Dundee City,Baldragon Academy,2016,2
Dundee City,Braeview Academy,2020,1.6
Dundee City,Braeview Academy,2016,2
Dundee City,Craigie High School,2020,2.5
Dundee City,Craigie High School,2016,2.5
Dundee City,Grove Academy,2020,3
Dundee City,Grove Academy,2016,2
Dundee City,Harris Academy,2020,3
Dundee City,Harris Academy,2016,2.6
Dundee City,Morgan Academy,2020,3
Dundee City,Morgan Academy,2016,3
Dundee City,St John's RC High School,2020,2.8
Dundee City,St John's RC High School,2016,3
Dundee City,St Paul's RC Academy,2020,2
Dundee City,St Paul's RC Academy,2016,2.8
East Ayrshire,Doon Academy,2020,
East Ayrshire,Doon Academy,2016,1
East Ayrshire,Grange Academy,2020,
East Ayrshire,Grange Academy,2016,0
East Ayrshire,Kilmarnock Academy,2020,
East Ayrshire,Kilmarnock Academy,2016,0
East Ayrshire,Loudoun Academy,2020,
East Ayrshire,Loudoun Academy,2016,2
East Ayrshire,Robert Burns Academy,2020,
East Ayrshire,Robert Burns Academy,2016,8
East Ayrshire,St Joseph's Academy,2020,
East Ayrshire,St Joseph's Academy,2016,0
East Ayrshire,Stewarton Academy,2020,
East Ayrshire,Stewarton Academy,2016,2
East Dunbartonshire,Bearsden Academy,2020,
East Dunbartonshire,Bearsden Academy,2016,3.5
East Dunbartonshire,Bishopbriggs Academy,2020,
East Dunbartonshire,Bishopbriggs Academy,2016,2.2
East Dunbartonshire,Boclair Academy,2020,
East Dunbartonshire,Boclair Academy,2016,2
East Dunbartonshire,Douglas Academy,2020,
East Dunbartonshire,Douglas Academy,2016,4.2
East Dunbartonshire,Kirkintilloch High School,2020,
East Dunbartonshire,Kirkintilloch High School,2016,3
East Dunbartonshire,Lenzie Academy,2020,
East Dunbartonshire,Lenzie Academy,2016,3
East Dunbartonshire,St Ninian's High School - Kirkintilloch,2020,
East Dunbartonshire,St Ninian's High School - Kirkintilloch,2016,1.7
East Dunbartonshire,Turnbull High School,2020,
East Dunbartonshire,Turnbull High School,2016,2
East Lothian,Dunbar Grammar School,2020,2
East Lothian,Dunbar Grammar School,2016,2
East Lothian,Knox Academy,2020,0
East Lothian,Knox Academy,2016,2
East Lothian,Musselburgh Grammar School,2020,1
East Lothian,Musselburgh Grammar School,2016,1.84
East Lothian,North Berwick High School,2020,1
East Lothian,North Berwick High School,2016,1.52
East Lothian,Preston Lodge High School,2020,1
East Lothian,Preston Lodge High School,2016,1
East Lothian,Ross High School,2020,2.43
East Lothian,Ross High School,2016,1.45
East Renfrewshire,Barrhead High School,2020,2
East Renfrewshire,Barrhead High School,2016,2
East Renfrewshire,Eastwood High School,2020,1
East Renfrewshire,Eastwood High School,2016,2.5
East Renfrewshire,Mearns Castle High School,2020,3
East Renfrewshire,Mearns Castle High School,2016,3
East Renfrewshire,St Luke's High School,2020,1
East Renfrewshire,St Luke's High School,2016,2
East Renfrewshire,St Ninian's High School - Giffnock,2020,4
East Renfrewshire,St Ninian's High School - Giffnock,2016,4
East Renfrewshire,Williamwood High School,2020,3
East Renfrewshire,Williamwood High School,2016,4
East Renfrewshire,Woodfarm High School,2020,1
East Renfrewshire,Woodfarm High School,2016,2
Falkirk,Bo'ness Academy,2020,1.4
Falkirk,Bo'ness Academy,2016,1.4
Falkirk,Braes High School,2020,2.6
Falkirk,Braes High School,2016,4
Falkirk,Denny High School,2020,2.2
Falkirk,Denny High School,2016,2.8
Falkirk,Falkirk High School,2020,2
Falkirk,Falkirk High School,2016,2
Falkirk,Graeme High School,2020,1
Falkirk,Graeme High School,2016,2
Falkirk,Grangemouth High School,2020,2
Falkirk,Grangemouth High School,2016,2
Falkirk,Larbert High School,2020,1.5
Falkirk,Larbert High School,2016,3
Falkirk,St Mungo's RC High School,2020,2
Falkirk,St Mungo's RC High School,2016,2
Fife,Auchmuty High School,2020,2
Fife,Auchmuty High School,2016,3
Fife,Balwearie High School,2020,3
Fife,Balwearie High School,2016,4
Fife,Beath High School,2020,1.6
Fife,Beath High School,2016,2
Fife,Bell Baxter High School,2020,1.4
Fife,Bell Baxter High School,2016,3
Fife,Dunfermline High School,2020,2.5
Fife,Dunfermline High School,2016,3.6
Fife,Glenrothes High School,2020,2
Fife,Glenrothes High School,2016,2
Fife,Glenwood High School,2020,1.82
Fife,Glenwood High School,2016,2
Fife,Inverkeithing High School,2020,1
Fife,Inverkeithing High School,2016,1.7
Fife,Kirkcaldy High School,2020,1
Fife,Kirkcaldy High School,2016,2.8
Fife,Levenmouth Academy,2020,2
Fife,Levenmouth Academy,2016,2
Fife,Lochgelly High School,2020,2
Fife,Lochgelly High School,2016,1.8
Fife,Madras College,2020,4
Fife,Madras College,2016,4
Fife,Queen Anne High School,2020,1
Fife,Queen Anne High School,2016,1
Fife,St Andrew's R C High School,2020,1
Fife,St Andrew's R C High School,2016,2
Fife,St Columba's R C High School,2020,3
Fife,St Columba's R C High School,2016,3
Fife,Viewforth High School,2020,1
Fife,Viewforth High School,2016,1
Fife,Waid Academy,2020,1
Fife,Waid Academy,2016,1
Fife,Woodmill High School,2020,3
Fife,Woodmill High School,2016,3
Glasgow City,All Saints Secondary School,2020,1
Glasgow City,All Saints Secondary School,2016,2
Glasgow City,Glasgow Gaelic School,2020,
Glasgow City,Glasgow Gaelic School,2016,
Glasgow City,Bannerman High School,2020,2
Glasgow City,Bannerman High School,2016,2
Glasgow City,Bellahouston Academy,2020,2
Glasgow City,Bellahouston Academy,2016,2.5
Glasgow City,Castlemilk High School,2020,2
Glasgow City,Castlemilk High School,2016,1
Glasgow City,Cleveden Secondary School,2020,2
Glasgow City,Cleveden Secondary School,2016,4
Glasgow City,Drumchapel High School,2020,0
Glasgow City,Drumchapel High School,2016,1
Glasgow City,Eastbank Academy,2020,2
Glasgow City,Eastbank Academy,2016,1
Glasgow City,Govan High School,2020,0
Glasgow City,Govan High School,2016,1
Glasgow City,Hillhead High School,2020,2
Glasgow City,Hillhead High School,2016,3
Glasgow City,Hillpark Secondary School,2020,2
Glasgow City,Hillpark Secondary School,2016,0.6
Glasgow City,Holyrood Secondary School,2020,6
Glasgow City,Holyrood Secondary School,2016,6
Glasgow City,Hyndland Secondary School,2020,4
Glasgow City,Hyndland Secondary School,2016,3.6
Glasgow City,John Paul Academy,2020,3
Glasgow City,John Paul Academy,2016,3.8
Glasgow City,King's Park Secondary School,2020,2
Glasgow City,King's Park Secondary School,2016,3
Glasgow City,Knightswood Secondary School,2020,2
Glasgow City,Knightswood Secondary School,2016,2
Glasgow City,Lochend Community High School,2020,1
Glasgow City,Lochend Community High School,2016,1
Glasgow City,Lourdes Secondary School,2020,2
Glasgow City,Lourdes Secondary School,2016,2
Glasgow City,Notre Dame High School,2020,0
Glasgow City,Notre Dame High School,2016,1
Glasgow City,Rosshall Academy,2020,2.4
Glasgow City,Rosshall Academy,2016,2.4
Glasgow City,Shawlands Academy,2020,3
Glasgow City,Shawlands Academy,2016,3
Glasgow City,Smithycroft Secondary School,2020,0
Glasgow City,Smithycroft Secondary School,2016,
Glasgow City,Springburn Academy,2020,2
Glasgow City,Springburn Academy,2016,
Glasgow City,St Andrew's Secondary School,2020,0
Glasgow City,St Andrew's Secondary School,2016,2.5
Glasgow City,St Margaret Mary's Secondary School,2020,1
Glasgow City,St Margaret Mary's Secondary School,2016,1
Glasgow City,St Mungo's Academy,2020,1
Glasgow City,St Mungo's Academy,2016,3.4
Glasgow City,St Paul's High School,2020,1
Glasgow City,St Paul's High School,2016,1
Glasgow City,St Roch's Secondary School,2020,1
Glasgow City,St Roch's Secondary School,2016,2
Glasgow City,St Thomas Aquinas Secondary School,2020,2
Glasgow City,St Thomas Aquinas Secondary School,2016,1
